year_ceremony;canon_category;name;film;winner
1946;ACTOR IN A LEADING ROLE;Cornel Wilde;A Song to Remember;False
1946;ACTOR IN A SUPPORTING ROLE;Michael Chekhov;Spellbound;False
1946;ACTOR IN A SUPPORTING ROLE;John Dall;The Corn Is Green;False
1946;ACTOR IN A SUPPORTING ROLE;James Dunn;A Tree Grows in Brooklyn;True
1946;ACTOR IN A SUPPORTING ROLE;Robert Mitchum;G. I. Joe;False
1946;ACTOR IN A SUPPORTING ROLE;J. Carrol Naish;A Medal for Benny;False
1946;ACTRESS IN A LEADING ROLE;Ingrid Bergman;The Bells of St. Mary's;False
1946;ACTRESS IN A LEADING ROLE;Joan Crawford;Mildred Pierce;True
1946;ACTRESS IN A LEADING ROLE;Greer Garson;The Valley of Decision;False
1946;ACTRESS IN A LEADING ROLE;Jennifer Jones;Love Letters;False
1946;ACTRESS IN A LEADING ROLE;Gene Tierney;Leave Her to Heaven;False
1946;ACTRESS IN A SUPPORTING ROLE;Eve Arden;Mildred Pierce;False
1946;ACTRESS IN A SUPPORTING ROLE;Ann Blyth;Mildred Pierce;False
1946;ACTRESS IN A SUPPORTING ROLE;Angela Lansbury;The Picture of Dorian Gray;False
1946;ACTRESS IN A SUPPORTING ROLE;Joan Lorring;The Corn Is Green;False
1946;ACTRESS IN A SUPPORTING ROLE;Anne Revere;National Velvet;True
1947;ACTOR IN A LEADING ROLE;Fredric March;The Best Years of Our Lives;True
1947;ACTOR IN A LEADING ROLE;Laurence Olivier;Henry V;False
1947;ACTOR IN A LEADING ROLE;Larry Parks;The Jolson Story;False
1947;ACTOR IN A LEADING ROLE;Gregory Peck;The Yearling;False
1947;ACTOR IN A LEADING ROLE;James Stewart;It's a Wonderful Life;False
1947;ACTOR IN A SUPPORTING ROLE;Charles Coburn;The Green Years;False
1947;ACTOR IN A SUPPORTING ROLE;William Demarest;The Jolson Story;False
1947;ACTOR IN A SUPPORTING ROLE;Claude Rains;Notorious;False
1947;ACTOR IN A SUPPORTING ROLE;Harold Russell;The Best Years of Our Lives;True
1947;ACTOR IN A SUPPORTING ROLE;Clifton Webb;The Razor's Edge;False
1947;ACTRESS IN A LEADING ROLE;Olivia de Havilland;To Each His Own;True
1947;ACTRESS IN A LEADING ROLE;Celia Johnson;Brief Encounter;False
1947;ACTRESS IN A LEADING ROLE;Jennifer Jones;Duel in the Sun;False
1947;ACTRESS IN A LEADING ROLE;Rosalind Russell;Sister Kenny;False
1947;ACTRESS IN A LEADING ROLE;Jane Wyman;The Yearling;False
1947;ACTRESS IN A SUPPORTING ROLE;Ethel Barrymore;The Spiral Staircase;False
1947;ACTRESS IN A SUPPORTING ROLE;Anne Baxter;The Razor's Edge;True
1947;ACTRESS IN A SUPPORTING ROLE;Lillian Gish;Duel in the Sun;False
1947;ACTRESS IN A SUPPORTING ROLE;Flora Robson;Saratoga Trunk;False
1947;ACTRESS IN A SUPPORTING ROLE;Gale Sondergaard;Anna and the King of Siam;False
1948;ACTOR IN A LEADING ROLE;Ronald Colman;A Double Life;True
1948;ACTOR IN A LEADING ROLE;John Garfield;Body and Soul;False
1948;ACTOR IN A LEADING ROLE;Gregory Peck;Gentleman's Agreement;False
1948;ACTOR IN A LEADING ROLE;William Powell;Life with Father;False
1948;ACTOR IN A LEADING ROLE;Michael Redgrave;Mourning Becomes Electra;False
1948;ACTOR IN A SUPPORTING ROLE;Charles Bickford;The Farmer's Daughter;False
1948;ACTOR IN A SUPPORTING ROLE;Thomas Gomez;Ride the Pink Horse;False
1948;ACTOR IN A SUPPORTING ROLE;Edmund Gwenn;Miracle on 34th Street;True
1948;ACTOR IN A SUPPORTING ROLE;Robert Ryan;Crossfire;False
1948;ACTOR IN A SUPPORTING ROLE;Richard Widmark;Kiss of Death;False
1948;ACTRESS IN A LEADING ROLE;Joan Crawford;Possessed;False
1948;ACTRESS IN A LEADING ROLE;Susan Hayward;Smash-Up--The Story of a Woman;False
1948;ACTRESS IN A LEADING ROLE;Dorothy McGuire;Gentleman's Agreement;False
1948;ACTRESS IN A LEADING ROLE;Rosalind Russell;Mourning Becomes Electra;False
1948;ACTRESS IN A LEADING ROLE;Loretta Young;The Farmer's Daughter;True
1948;ACTRESS IN A SUPPORTING ROLE;Ethel Barrymore;The Paradine Case;False
1948;ACTRESS IN A SUPPORTING ROLE;Gloria Grahame;Crossfire;False
1948;ACTRESS IN A SUPPORTING ROLE;Celeste Holm;Gentleman's Agreement;True
1948;ACTRESS IN A SUPPORTING ROLE;Marjorie Main;The Egg and I;False
1948;ACTRESS IN A SUPPORTING ROLE;Anne Revere;Gentleman's Agreement;False
1949;ACTOR IN A LEADING ROLE;Lew Ayres;Johnny Belinda;False
1949;ACTOR IN A LEADING ROLE;Montgomery Clift;The Search;False
1949;ACTOR IN A LEADING ROLE;Dan Dailey;When My Baby Smiles at Me;False
1949;ACTOR IN A LEADING ROLE;Laurence Olivier;Hamlet;True
1949;ACTOR IN A LEADING ROLE;Clifton Webb;Sitting Pretty;False
1949;ACTOR IN A SUPPORTING ROLE;Charles Bickford;Johnny Belinda;False
1949;ACTOR IN A SUPPORTING ROLE;José Ferrer;Joan of Arc;False
1949;ACTOR IN A SUPPORTING ROLE;Oscar Homolka;I Remember Mama;False
1949;ACTOR IN A SUPPORTING ROLE;Walter Huston;The Treasure of the Sierra Madre;True
1949;ACTOR IN A SUPPORTING ROLE;Cecil Kellaway;The Luck of the Irish;False
1949;ACTRESS IN A LEADING ROLE;Ingrid Bergman;Joan of Arc;False
1949;ACTRESS IN A LEADING ROLE;Olivia de Havilland;The Snake Pit;False
1949;ACTRESS IN A LEADING ROLE;Irene Dunne;I Remember Mama;False
1949;ACTRESS IN A LEADING ROLE;Barbara Stanwyck;Sorry, Wrong Number;False
1949;ACTRESS IN A LEADING ROLE;Jane Wyman;Johnny Belinda;True
1949;ACTRESS IN A SUPPORTING ROLE;Barbara Bel Geddes;I Remember Mama;False
1949;ACTRESS IN A SUPPORTING ROLE;Ellen Corby;I Remember Mama;False
1949;ACTRESS IN A SUPPORTING ROLE;Agnes Moorehead;Johnny Belinda;False
1949;ACTRESS IN A SUPPORTING ROLE;Jean Simmons;Hamlet;False
1949;ACTRESS IN A SUPPORTING ROLE;Claire Trevor;Key Largo;True
1950;ACTOR IN A LEADING ROLE;Broderick Crawford;All the King's Men;True
1950;ACTOR IN A LEADING ROLE;Kirk Douglas;Champion;False
1950;ACTOR IN A LEADING ROLE;Gregory Peck;Twelve O'Clock High;False
1950;ACTOR IN A LEADING ROLE;Richard Todd;The Hasty Heart;False
1950;ACTOR IN A LEADING ROLE;John Wayne;Sands of Iwo Jima;False
1950;ACTOR IN A SUPPORTING ROLE;John Ireland;All the King's Men;False
1950;ACTOR IN A SUPPORTING ROLE;Dean Jagger;Twelve O'Clock High;True
1950;ACTOR IN A SUPPORTING ROLE;Arthur Kennedy;Champion;False
